t=2026-06-17T23:50:47+0300 lvl=info msg="command usage" msg="Flag --request-header-add has been deprecated, use traffic policy instead"
t=2026-06-17T23:50:47+0300 lvl=info msg="no configuration paths supplied"
t=2026-06-17T23:50:47+0300 lvl=info msg="using configuration at default config path" path=C:\\Users\\Константин\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-06-17T23:50:47+0300 lvl=info msg="open config file" path=C:\\Users\\Константин\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-06-17T23:50:47+0300 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-17T23:50:47+0300 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-17T23:50:47+0300 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-17T23:50:47+0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-17T23:50:48+0300 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://hangover-hypnotic-verify.ngrok-free.dev
t=2026-06-18T00:24:23+0300 lvl=info msg="join connections" obj=join id=9924947cfeb0 l=127.0.0.1:3000 r=79.133.42.80:49400
t=2026-06-18T00:24:45+0300 lvl=info msg="join connections" obj=join id=60a9a059bb50 l=127.0.0.1:3000 r=79.133.42.80:44572
t=2026-06-18T00:24:45+0300 lvl=info msg="join connections" obj=join id=d44b6ded5e66 l=127.0.0.1:3000 r=79.133.42.80:44572
t=2026-06-18T00:24:45+0300 lvl=info msg="join connections" obj=join id=7316e049d8f9 l=127.0.0.1:3000 r=79.133.42.80:44572
t=2026-06-18T00:24:45+0300 lvl=info msg="join connections" obj=join id=6326fbe24f40 l=127.0.0.1:3000 r=79.133.42.80:44572
t=2026-06-18T00:24:45+0300 lvl=info msg="join connections" obj=join id=60a7eed2d6d3 l=127.0.0.1:3000 r=79.133.42.80:44572
t=2026-06-18T00:24:45+0300 lvl=info msg="join connections" obj=join id=0e8e9348280e l=127.0.0.1:3000 r=79.133.42.80:44572
t=2026-06-18T00:24:45+0300 lvl=info msg="join connections" obj=join id=d0f7382a7ba6 l=127.0.0.1:3000 r=79.133.42.80:44572
t=2026-06-18T00:24:46+0300 lvl=info msg="join connections" obj=join id=ced21bd3bb1b l=127.0.0.1:3000 r=79.133.42.80:52286
t=2026-06-18T00:24:46+0300 lvl=info msg="join connections" obj=join id=7e927de29162 l=127.0.0.1:3000 r=79.133.42.80:52302
